query,rank,mode
les documents qui parlent d'audit de référencement naturel Tryba,1,on
analyse du positionnement SEO de Teddy Smith,2,on
rapport de crawl sur le site Teddy Smith,1,on
documents qui traitent de l'optimisation pour moteurs génératifs Louis Vuitton,1,on
stratégie pour être visible dans les IA génératives pour Louis Vuitton,1,on
documents sur la GEO generative engine optimization de Louis Vuitton,1,on
présentations qui parlent du métier du référencement,6,on
les documents qui parlent d'argumentation SEO Rakuten,1,on
documents sur le trafic payant Rakuten Armando,1,on
présentation sur mon parcours en marketing digital et data science,1,on
documents qui décrivent la recherche par vecteurs et similarité d'images,1,on
documents qui parlent de la promesse de vente Persoz,1,on
les documents qui parlent de vente immobilière signée avec Persoz,2,on
documents sur l'acquisition d'un appartement Persoz Giraud,1,on
attestation de remise de documents mutuelle prévoyance Rakuten,1,on
les papiers qui parlent d'une procuration pour acquérir un bien,1,on
documents qui expliquent la copropriété et les lots d'un immeuble,1,on
documents qui parlent d'une feuille de soins pour un animal de compagnie,2,on
les documents qui parlent de Roy le chien et de ses soins,1,on
documents pour se faire rembourser des frais vétérinaires pour un chien,2,on
assurance santé chien chat Carrefour pour mon animal,7,on
contrat d'assurance pour mon chien chez Carrefour,5,on
feuille de soin vierge à remplir pour un animal,2,on
documents qui parlent de la cession d'un chaton à une nouvelle famille,1,on
attestation de cession d'un animal de compagnie,1,on
certificat de vaccination pour mon chaton Peach,1,on
facture vétérinaire pour le chat Peach,1,on
les documents qui parlent d'une attestation de droits maladie ameli,6,on
mon attestation de sécurité sociale pour la CPAM,0,on
documents qui parlent d'un remboursement d'un tiers payant maladie,9,on
justificatif de paiement par tiers à la sécurité sociale,0,on
les factures qui parlent de lunettes et monture optique,5,on
facture d'opticien pour des verres correcteurs,5,on
garanties optique de l'assurance Axa santé,2,on
la prévoyance Axa pour la famille,0,on
grille de garanties Axa 2020 pour les lunettes,1,on
les documents qui parlent de la mutuelle Rakuten,2,on
garanties santé de la complémentaire Rakuten,1,on
attestation de cumul d'assurances,1,on
je déclare sur l'honneur que je n'ai pas deux assurances,1,on
la lettre qui parle de ma démission chez Yakarouler,2,on
courrier de départ volontaire envoyé à Yakarouler,2,on
documents qui parlent d'un solde de tout compte chez Yakarouler,2,on
récapitulatif des sommes dues à la fin du contrat Yakarouler,0,on
bulletins de paie fiche de salaire Yakarouler,9,on
mes fiches de paie chez Yakarouler,0,on
les documents qui parlent de télétravail pour motif scolaire,0,on
demande d'avenant télétravail à cause des enfants,0,on
charte informatique et droit à la déconnexion,1,on
règlement sur le bon usage des outils numériques de l'entreprise,1,on
évaluation annuelle de mes performances 2022 avec Shugi,1,on
mon bilan de fin d'année 2022 par le manager,1,on
CV de directeur SEO ecommerce,3,on
mon curriculum vitae en tant que responsable SEO,1,on
lettre de motivation pour Hermès poste e-commerce,1,on
ma candidature pour un poste chez Hermès,1,on
évaluation wingfinder passeport de talents Red Bull,2,on
les documents qui parlent de mes forces principales selon Wingfinder,2,on
attestation signée par un ami en tant que témoin,3,on
attestations Julien et Sandrine pour faire foi,0,on
attestation manuscrite sur l'honneur,5,on
les documents qui parlent d'une contestation de stationnement à Paris,1,on
recours administratif préalable obligatoire pour un FPS à Paris,1,on
dossier complet de recours contre un forfait post-stationnement,1,on
courrier au ministère public pour une majoration amende stationnement,1,on
contestation d'une amende de stationnement majorée,1,on
litige eBay acheteur livraison,1,on
preuve conversation avec un acheteur eBay sur un carton livré,2,on
les documents qui parlent de litiges sur eBay,4,on
document de l'URSSAF Montreuil,0,on
courrier Urssaf 93518 Montreuil,0,on
document de synthèse INSEE URSSAF pour la création d'entreprise,1,on
avis de situation de l'INSEE d'avril 2026,9,on
conditions générales de vente pour la domiciliation d'entreprise,1,on
les documents qui parlent de ma domiciliation d'entreprise,1,on
les documents qui parlent du passeport de Victoire,1,on
pièce d'identité de Victoire 2024,1,on
convention de stage 3ème pour Victoire Giraud,0,on
stage de découverte collège 3ème Victoire,1,on
facture de l'hôtel Novotel en Égypte,1,on
hébergement Novotel Égypte facture,1,on
préautorisation Europcar et paiement de franchise location voiture,3,on
location voiture Europcar Paphos aéroport,5,on
mandat SEPA pour l'assurance chat Carrefour,10,on
autorisation de prélèvement pour Carrefour assurance Roy,10,on
courrier de résiliation de l'abonnement Free box,1,on
lettre pour arrêter mon contrat internet Free,1,on
résiliation d'un emplacement de parking loué,0,on
courrier pour libérer une place de parking,0,on
les documents qui parlent d'un prêt pour les études de Victoire,0,on
crédit étudiant pour financer une école,1,on
LAR place des finances pour valoir ce que de droit,1,on
clé de secours de mon compte et perte de mot de passe,0,on
un poème sur un coussin qui est doux comme de la mie de pain,1,on
documents ludiques ou poèmes personnels,0,on
questionnaire donné au lycée par l'établissement,1,on
un formulaire rempli par un lycéen,0,on
séquence de cours sur la conception d'un médicament,1,on
synthèse d'un principe actif de médicament en cours de chimie,1,on
les documents qui parlent du site de fenêtres portes volets Tryba,1,on
recommandations SEO pour le fabricant de fenêtres Tryba,1,on
analyse de trafic et de visibilité du site Tryba,1,on
store locator géolocalisation des points de vente Tryba,0,on
documents qui parlent de la recherche d'un magasin Tryba près de chez moi,3,on
contestation d'un produit LG vendu sur Rakuten,4,on
litige avec LG concernant une commande Rakuten,1,on
attestation signée par Florent Thuilliez,1,on
attestation d'un témoin habitant à Gennevilliers,1,on
les documents qui parlent de Discount Auto Center Thiais,1,on
lettre reçue de Yakarouler en mars 2020,1,on
échange de mails concernant mon départ de Yakarouler,1,on
argumentations diverses sur Rakuten,0,on
document avec des arguments défendus lors d'une réunion Rakuten,0,on
documents officiels scannés sur des démarches administratives,0,on
factures et reçus de voyage à l'étranger,2,on
documents avec des tableaux Excel de visibilité SEO,0,on
fichier Excel avec les pages indexées par Google,0,on
tableau des prix de pièces automobiles Oscaro Knecht,1,on
un relevé Excel de comparaison de prix de pièces auto,1,on
fichier Excel avec les ventes de pièces détachées auto,0,on
je cherche la présentation GEO Louis Vuitton en anglais,8,on
la version française du plan d'action GEO pour Louis Vuitton,7,on
le document qui présente l'architecture hybride CSR SSR pour Louis Vuitton,1,on
le compte rendu d'échange avec Thibaud Etienne,1,on
entretien avec le responsable d'acquisition du portefeuille,1,on
retrouve l'audit SEO de Tryba,5,on
la promesse de vente avec Persoz et Giraud,1,on
je veux mon CV de directeur SEO,1,on
contrat télétravail avec motif scolaire,0,on
feuille de soin pour mon animal nommé Roy,1,on
mes bulletins de paie chez Yakarouler,0,on
procuration pour acquérir Persoz,1,on
le document de la mutuelle Rakuten de 2020,1,on
la grille de prévoyance Axa,0,on
le store locator Tryba,0,on
le solde de tout compte,3,on
la présentation Louis Vuitton sur le GEO,1,on
le document d'argumentations Rakuten,0,on
la charte informatique et la déconnexion,1,on
la facture du Novotel en Égypte,1,on
le questionnaire du lycée,1,on
la contestation LG sur Rakuten,1,on
un prêt pour les études,1,on
le SEPA de Carrefour assurance chat,0,on
les litiges ebay,1,on
